20220919, 과실류, 포도, 샤인마스캇, 1, 0, 925.0
20220919, 과일과채류, 방울토마토, 대추방울, 1, 0, 500.0
20220919, 과실류, 복숭아, 장호원황도, 1, 0, 375.0
20220919, 과실류, 자두, 추희, 1, 0, 100.0
20220919, 버섯류, 새송이, 새송이, 1, 0, 337.5
20220919, 과일과채류, 방울토마토, 대추방울, 1, 0, 433.33334
20220919, 엽경채류, 깻잎, 깻잎, 1, 1, 8600.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 1100.0
20220919, 과실류, 단감, 송본, 1, 0, 350.0
20220919, 과일과채류, 방울토마토, 대추방울, 1, 0, 500.0
20220919, 과일과채류, 방울토마토, 대추방울, 1, 0, 500.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 10000.0
20220919, 두류, 동부, 동부, 1, 1, 4200.0
20220919, 근채류, 무, 고냉지무, 1, 1, 1140.0
20220919, 양채류, 치커리, 치커리, 1, 1, 2250.0
20220919, 과실류, 단감, 기타단감, 1, 1, 800.0
20220919, 과채류, 가지, 가지, 1, 0, 30.0
20220919, 조미채소류, 양파, 양파, 1, 0, 144.66667
20220919, 조미채소류, 양파, 양파, 1, 0, 143.33333
20220919, 과실류, 자두, 추희, 1, 0, 170.0
20220919, 조미채소류, 양파, 양파, 1, 0, 0.26
20220919, 조미채소류, 양파, 양파, 1, 0, 137.33333
20220919, 조미채소류, 양파, 양파, 1, 0, 136.66667
20220919, 조미채소류, 양파, 양파, 1, 0, 135.33333
20220919, 조미채소류, 양파, 양파, 1, 0, 133.33333
20220919, 조미채소류, 양파, 양파, 1, 0, 144.66667
20220919, 조미채소류, 양파, 양파, 1, 0, 143.33333
20220919, 과실류, 자두, 추희, 1, 0, 170.0
20220919, 엽경채류, 열무, 열무, 1, 0, 87.5
20220919, 과실류, 복숭아, 기타복숭아, 1, 0, 175.0
20220919, 과일과채류, 방울토마토, 대추방울, 1, 0, 400.0
20220919, 과실류, 복숭아, 기타복숭아, 1, 0, 175.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 1, 10066.667
20220919, 과채류, 오이, 가시오이, 1, 1, 330.0
20220919, 엽경채류, 깻잎, 깻잎, 1, 0, 2000.0
20220919, 과채류, 오이, 백다다기, 1, 1, 1380.0
20220919, 엽경채류, 시금치, 시금치, 1, 0, 325.0
20220919, 과실류, 복숭아, 기타복숭아, 1, 0, 275.0
20220919, 조미채소류, 대파, 대파, 1, 0, 170.0
20220919, 엽경채류, 시금치, 시금치, 1, 0, 325.0
20220919, 엽경채류, 시금치, 시금치, 1, 0, 325.0
20220919, 과채류, 가지, 가지, 1, 0, 160.0
20220919, 엽경채류, 고추잎, 생고추잎, 1, 1, 3250.0
20220919, 근채류, 무, 고냉지무, 1, 1, 1380.0
20220919, 과실류, 단감, 송본, 1, 1, 300.0
20220919, 과실류, 포도, 샤인마스캇, 1, 0, 1000.0
20220919, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 125.0
20220919, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 125.0
