20220919, 엽경채류, 부추, 일반부추, 1, 1, 2540.0
20220919, 과일과채류, 메론, 네트계, 1, 0, 237.5
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 5000.0
20220919, 과실류, 자두, 추희, 1, 0, 140.0
20220919, 과실류, 포도, 샤인마스캇, 1, 0, 640.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 450.0
20220919, 과실류, 배, 신고, 1, 0, 120.0
20220919, 과채류, 오이, 가시오이, 1, 1, 400.0
20220919, 수실류, 대추, 대추, 1, 1, 9000.0
20220919, 과실류, 배, 신고, 1, 0, 120.0
20220919, 과실류, 배, 신고, 1, 0, 133.33333
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 9000.0
20220919, 조미채소류, 쪽파, 쪽파, 1, 1, 3700.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 566.6667
20220919, 과실류, 배, 신고, 1, 0, 133.33333
20220919, 과실류, 포도, 샤인마스캇, 1, 0, 830.0
20220919, 과채류, 오이, 가시오이, 1, 1, 700.0
20220919, 과채류, 오이, 가시오이, 1, 1, 700.0
20220919, 수실류, 대추, 대추, 1, 1, 7500.0
20220919, 과실류, 무화과, 무화과, 1, 1, 5000.0
20220919, 엽경채류, 미나리, 돌미나리, 1, 1, 6600.0
20220919, 과실류, 무화과, 무화과, 1, 1, 5000.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 666.6667
20220919, 과실류, 포도, 마스캇베리에이, 1, 1, 2500.0
20220919, 과채류, 오이, 가시오이, 1, 1, 750.0
20220919, 과실류, 배, 신고, 1, 0, 140.0
20220919, 과실류, 배, 신고, 1, 0, 140.0
20220919, 과실류, 배, 화산, 1, 1, 833.3333
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 700.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 4000.0
20220919, 조미채소류, 대파, 깐대파, 1, 1, 2600.0
20220919, 과채류, 오이, 가시오이, 1, 1, 800.0
20220919, 조미채소류, 대파, 깐대파, 1, 1, 2600.0
20220919, 조미채소류, 대파, 깐대파, 1, 1, 2600.0
20220919, 조미채소류, 대파, 깐대파, 1, 1, 2600.0
20220919, 조미채소류, 대파, 깐대파, 1, 1, 2600.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 783.3333
20220919, 과실류, 배, 화산, 1, 1, 966.6667
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 6500.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 266.66666
20220919, 과채류, 오이, 가시오이, 1, 1, 1200.0
20220919, 과실류, 배, 기타배, 1, 0, 86.666664
20220919, 과채류, 오이, 가시오이, 1, 1, 1200.0
20220919, 과실류, 배, 기타배, 1, 0, 86.666664
20220919, 과실류, 배, 화산, 1, 1, 886.6667
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 416.66666
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 9000.0
20220919, 수실류, 대추, 대추, 1, 1, 6000.0
20220919, 과실류, 배, 기타배, 1, 0, 100.0
20220919, 과실류, 배, 기타배, 1, 0, 100.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 152.0
20220919, 과실류, 배, 화산, 1, 1, 1106.6666
20220919, 서류, 고구마, 밤고구마, 1, 0, 152.0
20220919, 과실류, 자두, 추희, 1, 0, 40.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 533.3333
20220919, 과실류, 배, 기타배, 1, 0, 113.333336
20220919, 과실류, 배, 기타배, 1, 0, 113.333336
20220919, 수실류, 대추, 대추, 1, 1, 6750.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 5250.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 550.0
20220919, 과실류, 배, 화산, 1, 1, 1166.6666
20220919, 엽경채류, 부추, 일반부추, 1, 1, 2020.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 600.0
20220919, 수실류, 대추, 대추, 1, 1, 7250.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 5600.0
20220919, 과실류, 무화과, 무화과, 1, 1, 6600.0
20220919, 과실류, 자두, 추희, 1, 0, 202.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 6500.0
20220919, 조미채소류, 쪽파, 쪽파, 1, 1, 3380.0
20220919, 과실류, 배, 기타배, 1, 0, 333.33334
20220919, 과실류, 배, 기타배, 1, 0, 333.33334
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 140.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 6800.0
20220919, 수실류, 대추, 대추, 1, 1, 9000.0
20220919, 과실류, 무화과, 무화과, 1, 0, 650.0
20220919, 과실류, 자두, 추희, 1, 0, 260.0
20220919, 과실류, 무화과, 무화과, 1, 1, 7000.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 102.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 102.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 366.66666
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 9000.0
20220919, 과실류, 무화과, 무화과, 1, 1, 7000.0
20220919, 수실류, 대추, 대추, 1, 1, 8500.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 182.0
20220919, 과실류, 무화과, 무화과, 1, 1, 7000.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 7000.0
20220919, 과실류, 자두, 추희, 1, 0, 310.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 666.6667
20220919, 서류, 감자, 기타감자, 1, 0, 225.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 242.0
20220919, 서류, 감자, 기타감자, 1, 0, 185.0
20220919, 서류, 감자, 기타감자, 1, 0, 225.0
20220919, 서류, 감자, 기타감자, 1, 0, 225.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 242.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 90.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 90.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 700.0
20220919, 과실류, 바나나, 기타바나나, 1, 1, 1642.8572
20220919, 과실류, 바나나, 기타바나나, 1, 1, 1642.8572
20220919, 과실류, 바나나, 기타바나나, 1, 1, 1642.8572
20220919, 조미채소류, 쪽파, 쪽파, 1, 1, 6330.0
20220919, 조미채소류, 대파, 깐대파, 1, 1, 2600.0
20220919, 조미채소류, 대파, 깐대파, 1, 1, 2600.0
20220919, 조미채소류, 대파, 깐대파, 1, 1, 2600.0
20220919, 조미채소류, 대파, 깐대파, 1, 1, 2600.0
20220919, 조미채소류, 대파, 깐대파, 1, 1, 2600.0
20220919, 조미채소류, 대파, 깐대파, 1, 1, 2600.0
20220919, 조미채소류, 대파, 깐대파, 1, 1, 2600.0
20220919, 조미채소류, 대파, 깐대파, 1, 1, 2600.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 6000.0
20220919, 조미채소류, 대파, 깐대파, 1, 1, 2600.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 6000.0
20220919, 과실류, 포도, 거봉, 1, 1, 3300.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 766.6667
20220919, 과실류, 무화과, 무화과, 1, 1, 5800.0
20220919, 과실류, 포도, 거봉, 1, 1, 3300.0
20220919, 과실류, 배, 기타배, 1, 0, 153.33333
20220919, 과실류, 배, 기타배, 1, 0, 153.33333
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 183.33333
20220919, 엽경채류, 미나리, 돌미나리, 1, 1, 6600.0
20220919, 과실류, 자두, 추희, 1, 0, 200.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 6250.0
20220919, 과실류, 사과, 홍로, 1, 0, 210.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 216.66667
20220919, 서류, 고구마, 밤고구마, 1, 0, 85.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 85.0
20220919, 과일과채류, 메론, 네트계, 1, 0, 300.0
20220919, 과실류, 포도, 거봉, 1, 1, 3500.0
20220919, 엽경채류, 열무, 열무, 1, 1, 1750.0
20220919, 과실류, 자두, 추희, 1, 0, 282.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 216.66667
20220919, 과실류, 사과, 홍로, 1, 0, 170.0
20220919, 수실류, 대추, 대추, 1, 1, 2200.0
20220919, 과채류, 오이, 가시오이, 1, 1, 300.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 66.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 66.0
20220919, 과실류, 자두, 추희, 1, 0, 300.0
20220919, 과실류, 무화과, 무화과, 1, 1, 5500.0
20220919, 과일과채류, 메론, 네트계, 1, 0, 275.0
20220919, 산채류, 취나물, 기타취나물, 1, 1, 4235.0
20220919, 과채류, 오이, 가시오이, 1, 1, 600.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 216.66667
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 6750.0
20220919, 엽경채류, 부추, 일반부추, 1, 1, 1910.0
20220919, 과실류, 자두, 추희, 1, 0, 186.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 90.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 90.0
20220919, 엽경채류, 호박잎, 생호박잎, 1, 1, 1600.0
20220919, 과채류, 오이, 가시오이, 1, 1, 1200.0
20220919, 과실류, 사과, 홍로, 1, 0, 100.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 140.0
20220919, 과실류, 무화과, 무화과, 1, 1, 8200.0
20220919, 과일과채류, 메론, 네트계, 1, 0, 331.25
20220919, 과실류, 배, 기타배, 1, 0, 280.0
20220919, 과실류, 배, 기타배, 1, 0, 280.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 7250.0
20220919, 과실류, 자두, 추희, 1, 0, 470.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 333.33334
20220919, 서류, 고구마, 밤고구마, 1, 0, 92.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 92.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 283.33334
20220919, 엽경채류, 부추, 영양부추, 1, 1, 2650.0
20220919, 과실류, 사과, 홍로, 1, 0, 60.0
20220919, 과채류, 오이, 가시오이, 1, 1, 500.0
20220919, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 1, 1065.0
20220919, 과실류, 자두, 추희, 1, 0, 532.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 7750.0
20220919, 과실류, 사과, 홍로, 1, 0, 60.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 85.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 85.0
20220919, 엽경채류, 열무, 열무, 1, 1, 1750.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 85.0
20220919, 과실류, 배, 기타배, 1, 0, 300.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 350.0
20220919, 과실류, 배, 기타배, 1, 0, 300.0
20220919, 과실류, 사과, 홍로, 1, 0, 60.0
20220919, 과채류, 오이, 가시오이, 1, 1, 1260.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 400.0
20220919, 과실류, 자두, 추희, 1, 0, 220.0
20220919, 과채류, 오이, 가시오이, 1, 1, 1400.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 121.0
20220919, 과채류, 오이, 가시오이, 1, 1, 1400.0
20220919, 과실류, 포도, 거봉, 1, 1, 666.6667
20220919, 서류, 고구마, 밤고구마, 1, 0, 121.0
20220919, 과실류, 사과, 홍로, 1, 0, 150.0
20220919, 과실류, 포도, 마스캇베리에이, 1, 1, 2833.3333
20220919, 수실류, 대추, 대추, 1, 1, 3500.0
20220919, 과실류, 자두, 추희, 1, 0, 220.0
20220919, 근채류, 연근, 기타연근, 1, 0, 233.33333
20220919, 근채류, 연근, 기타연근, 1, 0, 233.33333
20220919, 근채류, 연근, 기타연근, 1, 0, 233.33333
20220919, 근채류, 연근, 기타연근, 1, 0, 233.33333
20220919, 근채류, 연근, 기타연근, 1, 0, 233.33333
20220919, 근채류, 연근, 기타연근, 1, 0, 233.33333
20220919, 과실류, 포도, 거봉, 1, 1, 3333.3333
20220919, 산채류, 마, 천마, 1, 0, 100.0
20220919, 산채류, 마, 천마, 1, 0, 100.0
20220919, 산채류, 마, 천마, 1, 0, 380.0
20220919, 산채류, 마, 천마, 1, 0, 253.0
20220919, 산채류, 마, 천마, 1, 0, 410.0
20220919, 과일과채류, 메론, 네트계, 1, 0, 318.75
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 433.33334
20220919, 과실류, 포도, 마스캇베리에이, 1, 1, 3066.6667
20220919, 서류, 감자, 기타감자, 1, 0, 60.0
20220919, 서류, 감자, 기타감자, 1, 0, 40.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 190.0
20220919, 과실류, 무화과, 무화과, 1, 1, 5000.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 190.0
20220919, 근채류, 연근, 기타연근, 1, 0, 313.33334
20220919, 근채류, 연근, 기타연근, 1, 0, 120.0
20220919, 과실류, 자두, 추희, 1, 0, 84.0
20220919, 과채류, 오이, 가시오이, 1, 1, 850.0
20220919, 과실류, 무화과, 무화과, 1, 1, 6500.0
20220919, 과실류, 포도, 거봉, 1, 1, 3300.0
20220919, 과채류, 오이, 가시오이, 1, 1, 1000.0
20220919, 과실류, 배, 신고, 1, 0, 86.666664
20220919, 과실류, 배, 신고, 1, 0, 86.666664
20220919, 서류, 고구마, 밤고구마, 1, 0, 120.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 122.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 80.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 121.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 80.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 80.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 122.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 80.0
20220919, 과실류, 자두, 추희, 1, 0, 122.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 266.66666
20220919, 과실류, 감귤, 하우스감귤, 1, 1, 8666.667
20220919, 서류, 고구마, 밤고구마, 1, 0, 100.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 155.0
