220928, 과실류, 떫은감, 반시, 1, 0, 312.0
220928, 과실류, 포도, 흑보석, 1, 0, 475.0
220928, 서류, 고구마, 기타, 1, 0, 175.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 505.0
220928, 과채류, 호박, 애호박, 1, 0, 185.0
220928, 조미채소류, 대파, 대파, 1, 0, 160.0
220928, 과실류, 떫은감, 약시, 1, 0, 340.0
220928, 과일과채류, 수박, 꿀수박, 1, 0, 85.71429
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 500.0
220928, 과일과채류, 토마토, 기타토마토, 1, 0, 360.0
220928, 과실류, 떫은감, 약시, 1, 0, 260.0
220928, 과채류, 호박, 단호박, 1, 0, 125.0
220928, 과실류, 자두, 추희, 1, 0, 582.0
220928, 과실류, 포도, 거봉, 1, 0, 750.0
220928, 과실류, 떫은감, 연시, 1, 0, 142.85715
220928, 과실류, 복숭아, 황도, 1, 0, 275.0
220928, 과실류, 떫은감, 반시, 1, 0, 260.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 220.0
220928, 수실류, 대추, 대추, 1, 0, 650.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 152.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 250.0
220928, 근채류, 무, 여름무, 1, 0, 72.85714
220928, 농림가공, 전분 및 사료제조, 청포묵, 1, 0, 141.66667
220928, 과실류, 단감, 서촌, 1, 0, 210.0
220928, 산채류, 마, 생장마, 1, 0, 470.0
220928, 과실류, 감귤, 조생귤, 1, 0, 500.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 550.0
220928, 엽경채류, 부추, 기타부추, 1, 0, 338.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 433.33334
220928, 과실류, 단감, 송본, 1, 0, 450.0
220928, 과실류, 단감, 송본, 1, 0, 340.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 433.33334
220928, 과실류, 포도, 샤인마스캇, 1, 0, 625.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 125.92593
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 120.0
220928, 과실류, 자두, 추희, 1, 0, 520.0
220928, 수실류, 대추, 대추, 1, 0, 650.0
220928, 서류, 고구마, 기타, 1, 0, 105.0
220928, 조미채소류, 홍고추, 홍고추, 1, 0, 281.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 265.0
220928, 엽경채류, 상추, 적포기, 1, 0, 250.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 300.0
220928, 조미채소류, 대파, 대파, 1, 0, 160.0
220928, 과채류, 호박, 애호박, 1, 0, 162.5
220928, 과실류, 포도, 샤인마스캇, 1, 0, 550.0
220928, 엽경채류, 상추, 포기찹, 1, 0, 455.0
220928, 산채류, 도라지, 기타도라지, 1, 0, 500.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 466.66666
220928, 과일과채류, 토마토, 토마토, 1, 0, 320.0
220928, 과실류, 단감, 송본, 1, 0, 390.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 466.66666
220928, 조미채소류, 대파, 대파, 1, 0, 173.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 400.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 136.0
220928, 과일과채류, 참외, 금싸라기, 1, 0, 350.0
220928, 과실류, 복숭아, 만생황도, 1, 0, 212.5
220928, 수실류, 대추, 대추, 1, 0, 800.0
220928, 산채류, 도라지, 도라지, 0, 0, 530.0
220928, 서류, 고구마, 밤고구마, 1, 0, 65.0
220928, 수실류, 떫은감, 반시, 1, 0, 220.0
220928, 과실류, 단감, 송본, 1, 0, 410.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 473.33334
220928, 과실류, 사과, 요까, 1, 0, 165.0
220928, 조미채소류, 대파, 대파, 1, 0, 282.0
220928, 엽경채류, 열무, 열무, 1, 0, 170.0
220928, 수실류, 떫은감, 반시, 1, 0, 280.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 700.0
220928, 과실류, 복숭아, 장호원황도, 1, 0, 187.5
220928, 과실류, 사과, 양광, 1, 0, 380.0
220928, 과실류, 사과, 요까, 1, 0, 160.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 84.5
220928, 과일과채류, 토마토, 토마토, 1, 0, 510.0
220928, 과실류, 떫은감, 반시, 1, 0, 250.0
220928, 과실류, 떫은감, 반시, 1, 0, 140.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 293.33334
220928, 과실류, 단감, 차랑, 1, 0, 230.0
220928, 과실류, 떫은감, 약시, 1, 0, 240.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 266.0
220928, 과실류, 무화과, 무화과, 1, 0, 560.0
220928, 수실류, 밤, 옥광, 1, 0, 250.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 700.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 200.0
220928, 서류, 고구마, 밤고구마, 1, 0, 136.0
220928, 수실류, 밤, 옥광, 1, 0, 310.0
220928, 서류, 고구마, 밤고구마, 1, 0, 136.0
220928, 과실류, 무화과, 무화과, 1, 0, 700.0
220928, 과실류, 무화과, 무화과, 1, 0, 700.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 146.0
220928, 과실류, 사과, 기타사과, 1, 0, 250.0
220928, 과실류, 사과, 기타사과, 1, 0, 250.0
220928, 과실류, 복숭아, 장호원황도, 1, 0, 275.0
220928, 과실류, 자두, 추희, 1, 0, 170.0
220928, 수실류, 떫은감, 반시, 1, 0, 190.0
220928, 엽경채류, 배추, 쌈배추, 1, 0, 250.0
220928, 과실류, 포도, 기타포도, 1, 0, 700.0
220928, 엽경채류, 시금치, 시금치, 1, 0, 327.5
220928, 수실류, 밤, 기타밤, 1, 0, 259.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 112.0
220928, 과실류, 떫은감, 약시, 1, 0, 320.0
220928, 과실류, 단감, 서촌, 1, 0, 235.0
220928, 과실류, 떫은감, 약시, 1, 0, 340.0
220928, 엽경채류, 시금치, 시금치, 1, 0, 327.5
