220928, 과실류, 복숭아, 장호원황도, 1, 0, 75.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 566.6667
220928, 엽경채류, 시금치, 시금치, 1, 0, 756.6667
220928, 과채류, 호박, 애호박, 1, 0, 211.25
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 133.33333
220928, 과실류, 감귤, 하우스감귤, 1, 0, 366.66666
220928, 과일과채류, 참외, 기타참외, 1, 0, 92.0
220928, 수실류, 떫은감, 약시, 1, 0, 230.0
220928, 과실류, 떫은감, 약시, 1, 0, 360.0
220928, 과채류, 호박, 애호박, 1, 0, 250.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 200.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 87.5
220928, 과실류, 감귤, 하우스감귤, 1, 0, 750.0
220928, 수실류, 대추, 기타대추, 1, 0, 600.0
220928, 과실류, 떫은감, 약시, 1, 0, 280.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 675.0
220928, 과실류, 사과, 히로사끼, 1, 0, 50.0
220928, 엽경채류, 열무, 열무, 1, 0, 90.0
220928, 과실류, 자두, 추희, 1, 0, 440.0
220928, 과일과채류, 메론, 파파야계, 1, 0, 357.14285
220928, 과실류, 떫은감, 연시, 1, 0, 250.0
220928, 과실류, 단감, 송본, 1, 0, 220.0
220928, 과실류, 단감, 부유, 1, 0, 410.0
220928, 과실류, 단감, 부유, 1, 0, 339.0
220928, 수실류, 대추, 대추, 1, 0, 550.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 460.0
220928, 조미채소류, 양파, 양파, 1, 0, 93.333336
220928, 서류, 고구마, 붉은고구마, 1, 0, 187.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 400.0
220928, 조미채소류, 쪽파, 깐쪽파, 1, 0, 800.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 117.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 1800.0
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 620.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 366.66666
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 333.33334
220928, 과실류, 포도, 샤인마스캇, 1, 0, 450.0
220928, 과실류, 복숭아, 황도, 1, 0, 415.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 117.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 440.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 476.66666
220928, 과실류, 복숭아, 장호원황도, 1, 0, 150.0
220928, 산채류, 더덕, 기타더덕, 1, 0, 250.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 65.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 117.0
220928, 조미채소류, 대파, 대파, 1, 0, 75.0
220928, 과실류, 배, 신고, 1, 0, 163.33333
220928, 과실류, 포도, 캠벨얼리, 1, 0, 350.0
220928, 양채류, 아스파라가스, 녹색, 1, 0, 70.0
220928, 과실류, 감귤, 기타감귤, 1, 0, 220.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 65.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 1800.0
220928, 수실류, 대추, 대추, 1, 0, 650.0
220928, 엽경채류, 상추, 적상추, 1, 0, 425.0
220928, 과채류, 오이, 취청, 1, 0, 388.0
220928, 엽경채류, 열무, 열무, 1, 0, 100.0
220928, 근채류, 당근, 기타당근, 1, 0, 86.0
220928, 엽경채류, 배추, 쌈배추, 1, 0, 175.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 300.0
220928, 과실류, 단감, 기타단감, 1, 0, 500.0
220928, 과실류, 떫은감, 약시, 1, 0, 262.0
220928, 과실류, 단감, 서촌, 1, 0, 270.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 300.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 650.0
220928, 근채류, 당근, 기타당근, 1, 0, 86.0
220928, 과채류, 오이, 가시오이, 1, 0, 172.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 280.0
220928, 과실류, 단감, 기타단감, 1, 0, 380.0
220928, 과실류, 파인애플, 파인애플, 0, 0, 258.33334
220928, 엽경채류, 열무, 열무, 1, 0, 65.0
220928, 과채류, 오이, 취청, 1, 0, 470.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
220928, 엽경채류, 청경채, 청경채, 1, 0, 162.5
220928, 엽경채류, 상추, 꽃적상추, 1, 0, 200.0
220928, 양채류, 양상추, 양상추, 1, 0, 110.0
220928, 엽경채류, 고구마순, 기타고구마순, 1, 0, 130.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 655.0
220928, 엽경채류, 쑥갓, 쑥갓, 1, 0, 125.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 500.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 440.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 540.0
220928, 과일과채류, 참외, 기타참외, 1, 0, 150.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 80.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 666.6667
220928, 양채류, 양상추, 양상추, 1, 0, 110.0
220928, 서류, 고구마, 기타, 1, 0, 170.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 625.0
220928, 조미채소류, 대파, 대파, 1, 0, 210.0
220928, 서류, 감자, 자주감자, 1, 0, 50.0
220928, 과일과채류, 수박, 꿀수박, 1, 0, 200.0
220928, 조미채소류, 풋고추, 청복, 1, 0, 200.0
220928, 엽경채류, 고구마순, 생고구마순, 1, 0, 200.0
220928, 과채류, 오이, 가시오이, 1, 0, 200.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 380.0
220928, 양채류, 양상추, 양상추, 1, 0, 147.0
220928, 과실류, 복숭아, 황도, 1, 0, 415.0
220928, 서류, 고구마, 밤고구마, 1, 0, 170.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 325.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 282.0
220928, 과실류, 단감, 서촌, 1, 0, 300.0
220928, 과실류, 사과, 기타사과, 1, 0, 150.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 425.0
220928, 수실류, 대추, 건대추, 1, 0, 500.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 575.0
220928, 양채류, 양상추, 양상추, 1, 0, 147.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 400.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 2400.0
220928, 과실류, 사과, 양광, 1, 0, 178.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 433.33334
220928, 과실류, 포도, 샤인마스캇, 1, 0, 300.0
220928, 조미채소류, 풋고추, 청복, 1, 0, 200.0
220928, 과실류, 복숭아, 장호원황도, 1, 0, 287.5
220928, 수실류, 대추, 건대추, 1, 0, 800.0
220928, 양채류, 양상추, 양상추, 1, 0, 144.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 187.5
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 60.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 550.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 750.0
220928, 조미채소류, 대파, 대파, 1, 0, 190.0
220928, 양채류, 양상추, 양상추, 1, 0, 120.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
220928, 서류, 고구마, 호박고구마, 1, 0, 50.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 450.0
220928, 엽경채류, 청경채, 청경채, 1, 0, 157.5
220928, 양채류, 양상추, 양상추, 1, 0, 123.0
220928, 과실류, 떫은감, 약시, 1, 0, 320.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 493.33334
220928, 수실류, 대추, 기타대추, 1, 0, 500.0
220928, 과채류, 오이, 노각, 1, 0, 127.77778
220928, 양채류, 양상추, 양상추, 1, 0, 144.0
220928, 수실류, 떫은감, 연시, 1, 0, 300.0
220928, 과채류, 오이, 백다다기, 1, 0, 275.0
220928, 근채류, 연근, 기타연근, 1, 0, 151.0
220928, 엽경채류, 열무, 열무, 1, 0, 87.5
220928, 과채류, 호박, 쥬키니호박, 1, 0, 164.54546
220928, 엽경채류, 열무, 열무, 1, 0, 87.5
220928, 과실류, 무화과, 무화과, 1, 0, 550.0
220928, 과실류, 자두, 추희, 1, 0, 440.0
220928, 과실류, 사과, 홍로, 1, 0, 210.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 615.0
220928, 과일과채류, 참외, 기타참외, 1, 0, 170.0
220928, 과실류, 사과, 기타사과, 1, 0, 140.0
220928, 과실류, 사과, 홍로, 1, 0, 210.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 190.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 200.0
220928, 서류, 고구마, 밤고구마, 1, 0, 70.0
