220928, 과실류, 포도, 거봉, 1, 0, 500.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 450.0
220928, 과실류, 무화과, 무화과, 1, 0, 375.0
220928, 산채류, 방풍나물, 방풍나물, 1, 0, 227.5
220928, 엽경채류, 동초, 동초, 1, 0, 187.5
220928, 조미채소류, 풋고추, 청양, 1, 0, 380.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 615.0
220928, 과채류, 오이, 취청, 1, 0, 440.0
220928, 과채류, 오이, 백다다기, 1, 0, 270.0
220928, 엽경채류, 깻잎, 기타깻잎, 1, 0, 600.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 200.0
220928, 엽경채류, 열무, 열무, 1, 0, 112.5
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 237.5
220928, 과실류, 복숭아, 장호원황도, 1, 0, 325.0
220928, 엽경채류, 시금치, 시금치, 1, 0, 512.5
220928, 서류, 감자, 기타감자, 1, 0, 130.0
220928, 서류, 고구마, 호박고구마, 1, 0, 120.0
220928, 서류, 고구마, 기타, 1, 0, 88.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 283.33334
220928, 산채류, 방풍나물, 방풍나물, 1, 0, 205.0
220928, 과실류, 자두, 추희, 1, 0, 320.0
220928, 두류, 강낭콩, 강낭콩, 1, 0, 472.5
220928, 과실류, 자두, 추희, 1, 0, 360.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 266.66666
220928, 과실류, 단감, 기타단감, 1, 0, 470.0
220928, 양채류, 치커리, 치커리, 1, 0, 400.0
220928, 과실류, 떫은감, 약시, 1, 0, 200.0
220928, 과실류, 단감, 상서, 1, 0, 375.0
220928, 과실류, 단감, 기타단감, 1, 0, 312.0
220928, 서류, 감자, 기타감자, 1, 0, 132.5
220928, 과실류, 단감, 기타단감, 1, 0, 446.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 560.0
220928, 과실류, 단감, 기타단감, 1, 0, 500.0
220928, 엽경채류, 상추, 적포기, 1, 0, 415.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 315.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 293.33334
220928, 양채류, 파프리카, 빨강파프리카, 1, 0, 596.0
220928, 엽경채류, 상추, 적포기, 1, 0, 415.0
220928, 과실류, 포도, 기타포도, 1, 0, 600.0
220928, 과실류, 떫은감, 약시, 1, 0, 240.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 390.0
