220928, 과실류, 단감, 기타단감, 1, 0, 185.0
220928, 엽경채류, 고구마순, 생고구마순, 1, 0, 215.0
220928, 과실류, 단감, 기타단감, 1, 0, 280.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 250.0
220928, 두류, 강낭콩, 기타강낭콩, 1, 0, 490.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 70.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 242.0
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 212.5
220928, 두류, 강낭콩, 기타강낭콩, 1, 0, 557.5
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 300.0
220928, 두류, 동부, 동부, 1, 0, 733.3333
220928, 엽경채류, 청경채, 청경채, 1, 0, 132.5
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 75.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 400.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 296.49124
220928, 근채류, 토란, 토란, 1, 0, 330.0
220928, 엽경채류, 상추, 포기찹, 1, 0, 440.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 200.0
220928, 과채류, 오이, 가시오이, 1, 0, 239.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 700.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 650.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 87.5
220928, 엽경채류, 열무, 열무, 1, 0, 90.0
220928, 과채류, 호박, 단호박, 1, 0, 70.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 550.0
220928, 과실류, 단감, 기타단감, 1, 0, 280.0
220928, 엽경채류, 시금치, 시금치, 1, 0, 605.0
220928, 엽경채류, 토란대, 토란대, 1, 0, 125.0
220928, 과채류, 오이, 가시오이, 1, 0, 158.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 180.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 180.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 500.0
220928, 과실류, 단감, 송본, 1, 0, 200.0
220928, 두류, 동부, 동부, 1, 0, 700.0
220928, 양채류, 양상추, 양상추, 1, 0, 60.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 72.5
220928, 조미채소류, 쪽파, 깐쪽파, 1, 0, 1005.0
220928, 양채류, 양상추, 양상추, 1, 0, 60.0
220928, 산채류, 두릅, 기타두릅, 1, 0, 1180.0
220928, 조미채소류, 쪽파, 깐쪽파, 1, 0, 980.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 72.5
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 70.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 450.0
220928, 엽경채류, 열무, 열무, 1, 0, 90.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 742.8571
220928, 서류, 고구마, 밤고구마, 1, 0, 210.0
220928, 과실류, 단감, 송본, 1, 0, 300.0
220928, 과실류, 단감, 기타단감, 1, 0, 600.0
220928, 엽경채류, 열무, 열무, 1, 0, 90.0
220928, 과실류, 자두, 추희, 1, 0, 270.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 560.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 283.33334
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 650.0
220928, 과실류, 단감, 송본, 1, 0, 200.0
220928, 엽경채류, 고구마순, 생고구마순, 1, 0, 207.5
220928, 과실류, 단감, 기타단감, 1, 0, 225.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 460.0
220928, 과실류, 단감, 기타단감, 1, 0, 300.0
220928, 양채류, 파프리카, 빨강파프리카, 1, 0, 666.0
220928, 과실류, 복숭아, 장호원황도, 1, 0, 300.0
220928, 조미채소류, 풋고추, 기타풋고추, 1, 0, 165.17857
220928, 과실류, 포도, 샤인마스캇, 1, 0, 550.0
220928, 과채류, 호박, 애호박, 1, 0, 180.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 70.0
220928, 엽경채류, 청경채, 청경채, 1, 0, 132.5
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 279.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 70.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 275.0
220928, 산채류, 마, 기타마, 1, 0, 791.25
220928, 근채류, 연근, 기타연근, 1, 0, 316.5
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 270.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 70.0
220928, 엽경채류, 시금치, 시금치, 1, 0, 404.0
220928, 수실류, 대추, 기타대추, 1, 0, 500.0
220928, 양채류, 로메인, 로메인, 1, 0, 262.5
220928, 과실류, 포도, 캠벨얼리, 1, 0, 400.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 366.66666
220928, 과실류, 포도, 샤인마스캇, 1, 0, 750.0
220928, 엽경채류, 상추, 포기찹, 1, 0, 660.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 500.8772
220928, 과실류, 단감, 송본, 1, 0, 320.0
220928, 과실류, 단감, 기타단감, 1, 0, 533.3333
220928, 엽경채류, 상추, 꽃적상추, 1, 0, 287.5
220928, 양채류, 양상추, 샤니레타스, 1, 0, 216.92308
220928, 엽경채류, 토란대, 토란대, 1, 0, 117.5
220928, 엽경채류, 근대, 근대, 1, 0, 222.5
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 500.0
