220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 950.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 950.0
220928, 과채류, 호박, 애호박, 1, 0, 203.33333
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 266.66666
220928, 과실류, 복숭아, 백도, 1, 0, 175.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 64.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 270.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 260.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 200.0
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 500.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 260.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 325.66373
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 950.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 950.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 950.0
220928, 양채류, 양상추, 양상추, 1, 0, 123.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 950.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 260.0
220928, 양채류, 파프리카, 파프리카, 1, 0, 1220.0
220928, 양채류, 파프리카, 파프리카, 1, 0, 1220.0
220928, 양채류, 파프리카, 파프리카, 1, 0, 1220.0
220928, 양채류, 파프리카, 파프리카, 1, 0, 1220.0
220928, 과실류, 복숭아, 백도, 1, 0, 250.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 366.66666
220928, 엽경채류, 부추, 일반부추, 1, 0, 200.0
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 600.0
220928, 엽경채류, 호박잎, 생호박잎, 1, 0, 380.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 121.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 233.33333
220928, 과채류, 호박, 애호박, 1, 0, 360.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 633.3333
220928, 과실류, 복숭아, 백도, 1, 0, 400.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 950.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 260.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 270.0
220928, 양채류, 양상추, 양상추, 1, 0, 123.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 260.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 262.5
220928, 조미채소류, 풋고추, 청양, 1, 0, 335.0
220928, 조미채소류, 풋고추, 청초, 1, 0, 80.0
220928, 양채류, 양상추, 양상추, 1, 0, 80.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 565.0
220928, 과일과채류, 참외, 참외, 1, 0, 155.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 300.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 300.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 162.16216
220928, 과실류, 감귤, 극조생감귤, 1, 0, 200.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 366.66666
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 520.0
220928, 과실류, 복숭아, 백도, 1, 0, 400.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 280.0
220928, 과일과채류, 참외, 참외, 1, 0, 165.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 280.0
220928, 조미채소류, 풋고추, 청초, 1, 0, 250.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 280.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 640.0
220928, 버섯류, 새송이, 새송이, 1, 0, 225.0
220928, 버섯류, 새송이, 새송이, 1, 0, 225.0
220928, 버섯류, 새송이, 새송이, 1, 0, 225.0
220928, 버섯류, 새송이, 새송이, 1, 0, 225.0
220928, 버섯류, 새송이, 새송이, 1, 0, 225.0
220928, 버섯류, 새송이, 새송이, 1, 0, 225.0
