220929, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 67.5
220929, 과실류, 단감, 송본, 1, 0, 330.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
220929, 산채류, 고사리, 고사리, 0, 0, 800.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 775.0
220929, 엽경채류, 고추잎, 생고추잎, 1, 0, 21.666666
220929, 과실류, 포도, 샤인마스캇, 1, 0, 550.0
220929, 과실류, 단감, 송본, 1, 0, 160.0
220929, 과실류, 자두, 추희, 1, 0, 300.0
220929, 과일과채류, 방울토마토, 방울토마토, 1, 0, 480.0
220929, 과일과채류, 참외, 기타참외, 1, 0, 310.0
220929, 엽경채류, 시금치, 시금치, 1, 0, 450.0
220929, 과실류, 포도, 캠벨얼리, 1, 0, 433.33334
220929, 과일과채류, 메론, 네트계, 1, 0, 225.0
220929, 엽경채류, 시금치, 시금치, 1, 0, 425.0
220929, 엽경채류, 깻잎, 깻잎, 1, 0, 1458.8235
220929, 과일과채류, 토마토, 토마토, 1, 0, 720.0
220929, 과채류, 호박, 쥬키니호박, 1, 0, 89.0
220929, 조미채소류, 풋고추, 청양, 1, 0, 250.0
220929, 과채류, 호박, 애호박, 1, 0, 233.33333
220929, 엽경채류, 배추, 고냉지배추, 1, 0, 238.0
220929, 과실류, 단감, 송본, 1, 0, 335.0
220929, 과실류, 감귤, 하우스감귤, 1, 0, 320.0
220929, 조미채소류, 대파, 대파, 1, 0, 170.0
220929, 과실류, 복숭아, 황도, 1, 0, 175.0
220929, 엽경채류, 깻잎, 깻잎순, 1, 0, 366.66666
220929, 엽경채류, 상추, 청상추, 1, 0, 325.0
220929, 과실류, 포도, 마스캇베리에이, 1, 0, 333.33334
220929, 과실류, 무화과, 무화과, 1, 0, 500.0
220929, 과일과채류, 방울토마토, 방울토마토, 1, 0, 620.0
220929, 조미채소류, 풋고추, 기타풋고추, 1, 0, 21.339285
220929, 과실류, 감귤, 하우스감귤, 1, 0, 333.33334
220929, 근채류, 무, 여름무, 1, 0, 165.78947
220929, 과채류, 호박, 쥬키니호박, 1, 0, 60.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 400.0
220929, 수실류, 대추, 기타대추, 1, 0, 425.0
220929, 조미채소류, 생강, 생강, 1, 0, 600.0
220929, 과실류, 포도, 캠벨얼리, 1, 0, 300.0
220929, 엽경채류, 상추, 청상추, 1, 0, 325.0
220929, 과실류, 복숭아, 황도, 1, 0, 200.0
220929, 과실류, 포도, 캠벨얼리, 1, 0, 433.33334
220929, 수실류, 대추, 기타대추, 1, 0, 700.0
220929, 엽경채류, 상추, 기타상추, 1, 0, 410.0
220929, 과실류, 감귤, 하우스감귤, 1, 0, 333.33334
220929, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
220929, 과실류, 무화과, 무화과, 1, 0, 550.0
220929, 조미채소류, 풋고추, 청양, 1, 0, 300.0
220929, 양채류, 로메인, 로메인, 1, 0, 112.5
220929, 과실류, 감귤, 하우스감귤, 1, 0, 520.0
220929, 과일과채류, 방울토마토, 방울토마토, 1, 0, 460.0
220929, 서류, 고구마, 호박고구마, 1, 0, 70.0
220929, 과실류, 사과, 기타사과, 1, 0, 246.0
220929, 조미채소류, 대파, 대파, 1, 0, 233.0
220929, 과실류, 사과, 홍로, 1, 0, 255.0
220929, 산채류, 도라지, 생도라지재배산, 1, 0, 700.0
220929, 과실류, 복숭아, 기타복숭아, 1, 0, 232.5
220929, 과실류, 단감, 기타단감, 1, 0, 290.0
220929, 과실류, 포도, 기타포도, 1, 0, 475.0
220929, 과실류, 감귤, 하우스감귤, 1, 0, 266.0
220929, 엽경채류, 배추, 쌈배추, 1, 0, 328.75
220929, 과실류, 포도, 샤인마스캇, 1, 0, 575.0
220929, 과실류, 자두, 추희, 1, 0, 172.0
220929, 과실류, 배, 신고, 1, 0, 146.66667
220929, 과실류, 사과, 홍로, 1, 0, 160.0
220929, 과실류, 단감, 부유, 1, 0, 244.0
220929, 과일과채류, 방울토마토, 방울토마토, 1, 0, 800.0
220929, 과실류, 단감, 기타단감, 1, 0, 720.0
220929, 과실류, 배, 신고, 1, 0, 166.66667
220929, 과실류, 단감, 기타단감, 1, 0, 720.0
220929, 과일과채류, 방울토마토, 방울토마토, 1, 0, 760.0
220929, 과일과채류, 방울토마토, 방울토마토, 1, 0, 760.0
220929, 과실류, 떫은감, 약시, 1, 0, 400.0
220929, 과실류, 떫은감, 약시, 1, 0, 400.0
220929, 과실류, 포도, 거봉, 1, 0, 575.0
220929, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 145.0
220929, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 145.0
220929, 과일과채류, 토마토, 완숙토마토, 1, 0, 480.0
220929, 과채류, 호박, 쥬키니호박, 1, 0, 44.0
220929, 과실류, 복숭아, 유명, 1, 0, 575.0
220929, 과실류, 단감, 부유, 1, 0, 340.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 585.0
220929, 과채류, 호박, 쥬키니호박, 1, 0, 44.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 425.0
220929, 버섯류, 새송이, 새송이, 1, 0, 225.0
220929, 과실류, 단감, 상서, 1, 0, 280.0
220929, 과실류, 자두, 추희, 1, 0, 172.0
220929, 버섯류, 새송이, 새송이, 1, 0, 225.0
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 650.0
220929, 과실류, 감귤, 극조생감귤, 1, 0, 270.0
220929, 과실류, 단감, 부유, 1, 0, 120.0
220929, 과실류, 사과, 기타사과, 1, 0, 485.0
220929, 과실류, 단감, 상서, 1, 0, 230.0
220929, 과실류, 단감, 부유, 1, 0, 311.1111
220929, 과실류, 포도, 샤인마스캇, 1, 0, 450.0
220929, 과실류, 단감, 대안, 1, 0, 320.0
220929, 과실류, 떫은감, 약시, 1, 0, 180.0
220929, 엽경채류, 상추, 적상추, 1, 0, 240.0
220929, 과실류, 포도, 캠벨얼리, 1, 0, 466.66666
220929, 수실류, 떫은감, 약시, 1, 0, 280.0
220929, 버섯류, 표고버섯, 표고버섯, 1, 0, 680.0
220929, 과실류, 떫은감, 반시, 1, 0, 164.0
220929, 과실류, 단감, 기타단감, 1, 0, 302.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 790.0
220929, 엽경채류, 깻잎, 깻잎순, 1, 0, 200.0
220929, 과일과채류, 수박, 수박, 1, 0, 127.27273
220929, 과실류, 감귤, 조생귤, 1, 0, 620.0
220929, 과실류, 단감, 상서, 1, 0, 260.0
220929, 조미채소류, 풋고추, 기타풋고추, 1, 0, 132.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 790.0
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 520.0
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 520.0
220929, 수실류, 떫은감, 반시, 1, 0, 170.0
220929, 서류, 감자, 기타감자, 1, 0, 150.0
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 366.66666
220929, 과실류, 포도, 샤인마스캇, 1, 0, 790.0
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 260.0
220929, 과실류, 사과, 양광, 1, 0, 300.0
220929, 과일과채류, 수박, 수박, 1, 0, 134.61539
220929, 과실류, 포도, 기타포도, 1, 0, 566.6667
220929, 과실류, 포도, 샤인마스캇, 1, 0, 525.0
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 300.0
220929, 엽경채류, 시금치, 시금치, 1, 0, 525.0
220929, 과실류, 자두, 추희, 1, 0, 260.0
220929, 과실류, 포도, 캠벨얼리, 1, 0, 420.0
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 560.0
220929, 과실류, 떫은감, 약시, 1, 0, 180.0
220929, 과실류, 복숭아, 기타복숭아, 1, 0, 215.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
220929, 과일과채류, 토마토, 토마토, 1, 0, 230.0
220929, 조미채소류, 홍고추, 홍고추, 1, 0, 600.0
220929, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 67.5
220929, 조미채소류, 쪽파, 쪽파, 1, 0, 315.0
220929, 조미채소류, 풋고추, 청양, 1, 0, 250.0
220929, 과일과채류, 토마토, 토마토, 1, 0, 180.0
220929, 조미채소류, 건고추, 기타건고추, 1, 0, 2450.0
220929, 서류, 고구마, 기타, 1, 0, 96.0
220929, 조미채소류, 대파, 대파, 1, 0, 215.0
220929, 엽경채류, 토란대, 토란대, 0, 0, 135.0
220929, 과일과채류, 토마토, 토마토, 1, 0, 280.0
220929, 과채류, 호박, 쥬키니호박, 1, 0, 151.0
220929, 수실류, 대추, 기타대추, 1, 0, 650.0
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 466.66666
220929, 과일과채류, 토마토, 토마토, 1, 0, 380.0
220929, 조미채소류, 풋고추, 청양, 1, 0, 38.761063
220929, 과실류, 포도, 캠벨얼리, 1, 0, 266.66666
220929, 과일과채류, 토마토, 토마토, 1, 0, 380.0
220929, 과실류, 감귤, 하우스감귤, 1, 0, 320.0
220929, 과실류, 복숭아, 황도, 1, 0, 200.0
220929, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 375.0
220929, 과채류, 호박, 애호박, 1, 0, 333.33334
220929, 과실류, 자두, 추희, 1, 0, 360.0
220929, 수실류, 대추, 기타대추, 1, 0, 600.0
220929, 과실류, 자두, 추희, 1, 0, 500.0
220929, 과채류, 오이, 취청, 1, 0, 390.0
220929, 산채류, 더덕, 더덕, 1, 0, 915.0
220929, 과실류, 포도, 캠벨얼리, 1, 0, 400.0
220929, 엽경채류, 배추, 기타배추, 1, 0, 96.82539
220929, 수실류, 대추, 대추, 1, 0, 875.0
220929, 서류, 고구마, 호박고구마, 1, 0, 70.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 750.0
220929, 과채류, 호박, 애호박, 1, 0, 187.5
220929, 두류, 콩, 호랑이콩, 1, 0, 375.0
220929, 과실류, 포도, 마스캇베리에이, 1, 0, 350.0
220929, 수실류, 대추, 기타대추, 1, 0, 700.0
220929, 과실류, 복숭아, 황도, 1, 0, 300.0
220929, 과채류, 오이, 백다다기, 1, 0, 252.0
220929, 엽경채류, 깻잎, 깻잎순, 1, 0, 466.66666
220929, 과일과채류, 토마토, 토마토, 1, 0, 600.0
220929, 과실류, 포도, 캠벨얼리, 1, 0, 500.0
220929, 과일과채류, 메론, 네트계, 1, 0, 287.5
220929, 과실류, 단감, 송본, 1, 0, 220.0
220929, 과실류, 감귤, 하우스감귤, 1, 0, 520.0
220929, 근채류, 연근, 기타연근, 1, 0, 355.55554
