220929, 엽경채류, 배추, 월동배추, 1, 0, 56.666668
220929, 조미채소류, 풋고추, 청양, 1, 0, 318.18182
220929, 과실류, 자두, 추희, 1, 0, 220.0
220929, 과실류, 복숭아, 장호원황도, 1, 0, 187.5
220929, 과채류, 호박, 애호박, 1, 0, 250.0
220929, 양채류, 피망(단고추), 홍피망, 1, 0, 100.0
220929, 과일과채류, 토마토, 토마토, 1, 0, 100.0
220929, 과실류, 복숭아, 만생황도, 1, 0, 400.0
220929, 과채류, 오이, 노각, 1, 0, 102.0
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 566.6667
220929, 조미채소류, 풋고추, 롱그린, 1, 0, 135.0
220929, 수실류, 대추, 대추, 1, 0, 550.0
220929, 과채류, 오이, 취청, 1, 0, 270.0
220929, 양채류, 피망(단고추), 청피망, 1, 0, 100.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 750.0
220929, 버섯류, 표고버섯, 표고버섯, 1, 0, 1400.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 700.0
220929, 과채류, 호박, 풋호박, 1, 0, 155.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 590.0
220929, 농림가공, 전분 및 사료제조, 기타, 1, 0, 200.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 350.0
220929, 버섯류, 표고버섯, 표고버섯, 1, 0, 160.0
220929, 농림가공, 전분 및 사료제조, 기타, 1, 0, 200.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 467.5
220929, 서류, 고구마, 밤고구마, 1, 0, 250.0
220929, 조미채소류, 홍고추, 홍고추, 1, 0, 360.0
220929, 버섯류, 표고버섯, 표고버섯, 1, 0, 160.0
220929, 양채류, 피망(단고추), 청피망, 1, 0, 188.0
220929, 과실류, 포도, 거봉, 1, 0, 450.0
220929, 서류, 감자, 수미, 1, 0, 68.0
220929, 과실류, 단감, 기타단감, 1, 0, 320.0
220929, 버섯류, 표고버섯, 표고버섯, 1, 0, 200.0
220929, 수실류, 대추, 기타대추, 1, 0, 1050.0
220929, 엽경채류, 열무, 열무, 1, 0, 110.0
220929, 버섯류, 표고버섯, 표고버섯, 1, 0, 260.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 650.0
220929, 과채류, 호박, 쥬키니호박, 1, 0, 170.0
220929, 버섯류, 표고버섯, 표고버섯, 1, 0, 220.0
220929, 서류, 고구마, 기타, 1, 0, 50.0
220929, 서류, 고구마, 기타, 1, 0, 190.0
220929, 과실류, 포도, 캠벨얼리, 1, 0, 366.66666
220929, 조미채소류, 양파, 양파, 1, 0, 126.666664
220929, 버섯류, 표고버섯, 표고버섯, 1, 0, 180.0
220929, 과일과채류, 토마토, 토마토, 1, 0, 340.0
220929, 버섯류, 새송이, 새송이, 1, 0, 212.5
220929, 조미채소류, 홍고추, 홍고추, 1, 0, 70.53571
220929, 버섯류, 표고버섯, 표고버섯, 1, 0, 210.0
220929, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 260.0
220929, 과일과채류, 토마토, 토마토, 1, 0, 140.0
220929, 엽경채류, 깻잎, 기타깻잎, 1, 0, 287.5
220929, 과실류, 감귤, 하우스감귤, 1, 0, 466.66666
220929, 과실류, 포도, 샤인마스캇, 1, 0, 550.0
220929, 과실류, 단감, 송본, 1, 0, 210.0
