220929, 엽경채류, 깻잎, 깻잎, 1, 0, 1500.0
220929, 엽경채류, 배추, 쌈배추, 1, 0, 197.5
220929, 과실류, 포도, 샤인마스캇, 1, 0, 700.0
220929, 과채류, 호박, 애호박, 1, 0, 197.5
220929, 엽경채류, 양배추, 양배추, 1, 0, 93.181816
220929, 엽경채류, 깻잎, 깻잎, 1, 0, 750.0
220929, 과실류, 단감, 송본, 1, 0, 160.0
220929, 조미채소류, 풋고추, 오이맛고추, 1, 0, 225.0
220929, 수실류, 떫은감, 기타, 1, 0, 280.0
220929, 양채류, 칼리플라워(꽃양배추), 칼리플라워, 1, 0, 150.0
220929, 과채류, 호박, 쥬키니호박, 1, 0, 145.0
220929, 양채류, 피망(단고추), 청피망, 1, 0, 13.043478
220929, 과실류, 바나나, 바나나, 0, 0, 115.38461
220929, 조미채소류, 풋고추, 모닝, 1, 0, 210.0
220929, 과채류, 오이, 가시오이, 1, 0, 222.0
220929, 과실류, 바나나, 바나나, 0, 0, 76.92308
220929, 엽경채류, 쑥갓, 쑥갓, 1, 0, 100.0
220929, 과실류, 바나나, 바나나, 0, 0, 100.0
220929, 과실류, 포도, 캠벨얼리, 1, 0, 400.0
220929, 과실류, 바나나, 바나나, 0, 0, 100.0
220929, 과채류, 호박, 쥬키니호박, 1, 0, 138.0
220929, 과채류, 오이, 취청, 1, 0, 490.0
220929, 과채류, 오이, 백다다기, 1, 0, 310.0
220929, 과채류, 오이, 취청, 1, 0, 300.0
220929, 엽경채류, 깻잎, 깻잎, 1, 0, 340.0
220929, 과실류, 감귤, 하우스감귤, 1, 0, 466.66666
220929, 과실류, 자두, 추희, 1, 0, 500.0
220929, 엽경채류, 깻잎, 깻잎, 1, 0, 928.0
220929, 과실류, 포도, 마스캇베리에이, 1, 0, 366.66666
220929, 조미채소류, 풋고추, 청양, 1, 0, 500.0
220929, 농림가공, 곡물제조, 두부, 0, 0, 160.0
220929, 농림가공, 곡물제조, 연두부, 0, 0, 106.666664
220929, 농림가공, 곡물제조, 두부, 0, 0, 133.33333
220929, 농림가공, 곡물제조, 순두부, 0, 0, 87.5
220929, 수실류, 대추, 대추, 1, 0, 600.0
220929, 서류, 감자, 기타감자, 1, 0, 166.5
220929, 조미채소류, 풋고추, 청양, 1, 0, 310.0
220929, 서류, 고구마, 밤고구마, 1, 0, 116.0
220929, 엽경채류, 콩나물, 콩나물, 1, 0, 80.0
220929, 과실류, 단감, 송본, 1, 0, 160.0
220929, 엽경채류, 상추, 기타상추, 1, 0, 80.0
220929, 과채류, 호박, 풋호박, 1, 0, 100.0
220929, 과채류, 호박, 풋호박, 1, 0, 160.0
220929, 과일과채류, 메론, 네트계, 1, 0, 350.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 450.0
220929, 과일과채류, 참외, 기타참외, 1, 0, 280.0
220929, 수실류, 대추, 대추, 1, 0, 700.0
220929, 수실류, 대추, 대추, 1, 0, 700.0
220929, 양채류, 피망(단고추), 청피망, 1, 0, 200.0
220929, 과실류, 바나나, 몽키, 1, 0, 100.0
