220928, 과실류, 사과, 시나노레드, 1, 0, 175.0
220928, 과실류, 단감, 차랑, 1, 0, 100.0
220928, 엽경채류, 상추, 청상추, 1, 0, 700.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 400.0
220928, 엽경채류, 청경채, 청경채, 1, 0, 175.0
220928, 서류, 고구마, 기타, 1, 0, 88.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 260.0
220928, 근채류, 무, 기타무, 1, 0, 75.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 48900.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 462.5
220928, 과실류, 포도, 기타포도, 1, 0, 525.0
220928, 과채류, 호박, 애호박, 1, 0, 225.0
220928, 조미채소류, 마늘, 깐마늘, 1, 0, 850.0
220928, 과실류, 떫은감, 반시, 1, 0, 150.0
220928, 과실류, 배, 신고, 1, 0, 130.66667
220928, 엽경채류, 상추, 꽃적상추, 1, 0, 220.0
220928, 과실류, 사과, 홍로, 1, 0, 94.5
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 185.0
220928, 엽경채류, 근대, 근대, 1, 0, 350.0
220928, 수실류, 대추, 기타대추, 1, 0, 775.0
220928, 과채류, 호박, 단호박, 1, 0, 190.0
220928, 수실류, 떫은감, 반시, 1, 0, 310.0
220928, 수실류, 떫은감, 약시, 1, 0, 280.0
220928, 서류, 고구마, 호박고구마, 1, 0, 90.0
220928, 과실류, 단감, 기타단감, 1, 0, 300.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 466.66666
220928, 과실류, 사과, 홍로, 1, 0, 180.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 366.66666
220928, 과실류, 무화과, 무화과, 1, 0, 400.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 690.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 280.0
220928, 과채류, 호박, 애호박, 1, 0, 181.25
220928, 과실류, 사과, 기타사과, 1, 0, 306.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 450.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 466.66666
220928, 과실류, 자두, 추희, 1, 0, 760.0
220928, 과채류, 가지, 가지, 1, 0, 168.75
220928, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
220928, 과실류, 사과, 홍로, 1, 0, 180.0
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 550.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 380.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 80.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 293.33334
220928, 서류, 감자, 수미, 1, 0, 140.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 950.0
220928, 과실류, 사과, 홍로, 1, 0, 86.5
220928, 버섯류, 새송이, 새송이, 1, 0, 225.0
220928, 양채류, 치커리, 치커리, 1, 0, 350.0
220928, 과일과채류, 수박, 수박, 1, 0, 6700.0
220928, 수실류, 대추, 기타대추, 1, 0, 850.0
220928, 수실류, 떫은감, 약시, 1, 0, 300.0
220928, 과실류, 사과, 기타사과, 1, 0, 340.5
220928, 과실류, 무화과, 무화과, 1, 0, 400.0
220928, 과실류, 복숭아, 장호원황도, 1, 0, 125.0
220928, 과채류, 호박, 애호박, 1, 0, 181.25
220928, 엽경채류, 배추, 봄배추, 1, 0, 191.66667
220928, 엽경채류, 배추, 월동배추, 1, 0, 100.0
220928, 과일과채류, 참외, 기타참외, 1, 0, 210.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 450.0
220928, 엽경채류, 아욱, 아욱, 1, 0, 160.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 455.0
220928, 과일과채류, 수박, 수박, 1, 0, 6700.0
220928, 조미채소류, 대파, 대파, 1, 0, 177.0
220928, 과일과채류, 메론, 네트계, 1, 0, 281.25
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 500.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 266.66666
220928, 과실류, 자두, 추희, 1, 0, 450.0
220928, 과실류, 사과, 시나노레드, 1, 0, 190.0
220928, 엽경채류, 열무, 열무, 1, 0, 200.0
220928, 수실류, 대추, 기타대추, 1, 0, 600.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 403.33334
220928, 조미채소류, 풋고추, 청양, 1, 0, 210.0
220928, 과실류, 사과, 홍로, 1, 0, 240.0
220928, 과실류, 사과, 기타사과, 1, 0, 355.5
220928, 과채류, 오이, 가시오이, 1, 0, 231.0
220928, 과실류, 단감, 송본, 1, 0, 280.0
220928, 엽경채류, 상추, 적상추, 1, 0, 362.5
220928, 과실류, 사과, 요까, 1, 0, 240.0
220928, 과실류, 사과, 홍로, 1, 0, 170.0
220928, 과일과채류, 메론, 네트계, 1, 0, 250.0
220928, 조미채소류, 풋고추, 애기초, 1, 0, 775.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 520.0
220928, 양채류, 비트(붉은사탕무우), 비트, 1, 0, 47.0
220928, 과실류, 사과, 홍로, 1, 0, 107.5
220928, 농림가공, 기타식품, 기타, 1, 0, 575.0
220928, 과실류, 단감, 차랑, 1, 0, 115.0
220928, 과실류, 자두, 추희, 1, 0, 320.0
220928, 과일과채류, 참외, 금싸라기, 1, 0, 90.0
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 550.0
220928, 조미채소류, 대파, 대파, 1, 0, 170.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 400.0
220928, 수실류, 대추, 기타대추, 1, 0, 600.0
220928, 과일과채류, 메론, 네트계, 1, 0, 412.5
220928, 서류, 고구마, 기타, 1, 0, 170.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 80.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 70.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 150.0
220928, 과실류, 떫은감, 약시, 1, 0, 240.0
220928, 과실류, 단감, 송본, 1, 0, 440.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 450.0
220928, 버섯류, 표고버섯, 기타표고버섯, 1, 0, 1050.0
220928, 과채류, 호박, 애호박, 1, 0, 237.5
220928, 과실류, 사과, 기타사과, 1, 0, 415.0
220928, 과채류, 가지, 가지, 1, 0, 231.25
220928, 과실류, 사과, 기타사과, 1, 0, 350.0
220928, 과실류, 떫은감, 약시, 1, 0, 250.0
220928, 엽경채류, 배추, 여름배추, 1, 0, 201.0
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 550.0
220928, 과실류, 떫은감, 반시, 1, 0, 176.0
220928, 근채류, 알타리무, 알타리무, 1, 0, 160.0
220928, 과실류, 사과, 요까, 1, 0, 225.0
220928, 과실류, 단감, 기타단감, 1, 0, 85.0
220928, 서류, 고구마, 밤고구마, 1, 0, 55.0
220928, 엽경채류, 상추, 포기찹, 1, 0, 275.0
220928, 엽경채류, 배추, 쌈배추, 1, 0, 530.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 203.33333
220928, 과실류, 사과, 홍로, 1, 0, 134.5
220928, 과채류, 호박, 애호박, 1, 0, 212.5
220928, 과실류, 포도, 캠벨얼리, 1, 0, 300.0
220928, 과채류, 가지, 가지, 1, 0, 270.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 245.0
220928, 과실류, 사과, 시나노레드, 1, 0, 190.0
220928, 과실류, 포도, 거봉, 1, 0, 525.0
220928, 과실류, 단감, 차랑, 1, 0, 430.0
220928, 엽경채류, 아욱, 아욱, 1, 0, 172.5
220928, 수실류, 대추, 대추, 1, 0, 850.0
220928, 엽경채류, 상추, 청상추, 1, 0, 450.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
220928, 과실류, 복숭아, 장호원황도, 1, 0, 60.0
220928, 과실류, 단감, 상서, 1, 0, 190.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 240.0
220928, 양채류, 파프리카, 빨강파프리카, 1, 0, 720.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 57.5
220928, 조미채소류, 풋고추, 청양, 1, 0, 355.0
220928, 과실류, 떫은감, 약시, 1, 0, 240.0
220928, 엽경채류, 상추, 청상추, 1, 0, 700.0
220928, 과실류, 배, 신고, 1, 0, 113.333336
220928, 서류, 고구마, 호박고구마, 1, 0, 150.0
220928, 엽경채류, 배추, 기타배추, 1, 0, 142.85715
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 300.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 266.66666
