220928, 과실류, 참다래(키위), 키위, 0, 0, 666.6667
220928, 수실류, 떫은감, 반시, 1, 0, 160.0
220928, 과일과채류, 수박, 수박, 1, 0, 113.333336
220928, 조미채소류, 쪽파, 깐쪽파, 1, 0, 800.0
220928, 과일과채류, 수박, 수박, 1, 0, 118.75
220928, 수실류, 떫은감, 약시, 1, 0, 140.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 200.0
220928, 과실류, 사과, 기타사과, 1, 0, 220.0
220928, 과실류, 떫은감, 약시, 1, 0, 280.0
220928, 근채류, 토란, 토란, 1, 0, 136.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 63.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 260.0
220928, 과실류, 사과, 홍로, 1, 0, 88.0
220928, 과실류, 포도, 기타포도, 1, 0, 250.0
220928, 과실류, 바나나, 바나나, 0, 0, 215.38461
220928, 과실류, 포도, 샤인마스캇, 1, 0, 850.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 73.0
220928, 과실류, 포도, 기타포도, 1, 0, 1000.0
220928, 버섯류, 느타리버섯, 느타리버섯, 1, 0, 300.0
220928, 과실류, 자두, 추희, 1, 0, 320.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 280.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 500.0
220928, 수실류, 호두, 호두, 1, 0, 400.0
220928, 근채류, 토란, 토란, 1, 0, 60.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 10000.0
220928, 과실류, 사과, 홍로, 1, 0, 110.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 280.0
220928, 과채류, 가지, 가지, 1, 0, 174.54546
220928, 수실류, 대추, 대추, 1, 0, 500.0
220928, 과일과채류, 수박, 수박, 1, 0, 136.36363
220928, 조미채소류, 풋고추, 녹광, 1, 0, 150.0
220928, 과실류, 사과, 기타사과, 1, 0, 130.0
220928, 과실류, 자두, 추희, 1, 0, 180.0
220928, 과실류, 자두, 추희, 1, 0, 320.0
220928, 수실류, 대추, 대추, 1, 0, 1250.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 685.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 1450.0
220928, 과실류, 떫은감, 기타떫은감, 1, 0, 100.0
220928, 과실류, 자두, 추희, 1, 0, 320.0
220928, 과실류, 자두, 추희, 1, 0, 580.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 290.0
220928, 엽경채류, 상추, 기타상추, 1, 0, 335.0
220928, 과실류, 자두, 추희, 1, 0, 260.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 333.33334
220928, 과실류, 사과, 홍로, 1, 0, 120.0
