220928, 버섯류, 느타리버섯, 기타느타리버섯, 1, 0, 355.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 과실류, 자두, 추희, 1, 0, 540.0
220928, 과실류, 포도, 거봉, 1, 0, 255.0
220928, 과실류, 용과, 용과, 0, 0, 460.0
220928, 과실류, 단감, 송본, 1, 0, 120.0
220928, 과실류, 파인애플, 파인애플, 0, 0, 258.33334
220928, 과실류, 포도, 거봉, 1, 0, 400.0
220928, 과실류, 무화과, 무화과, 1, 0, 350.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 120.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 425.0
220928, 과채류, 가지, 가지, 1, 0, 177.5
220928, 엽경채류, 얼갈이배추, 기타얼갈이배추, 1, 0, 110.0
220928, 과실류, 단감, 부유, 1, 0, 355.55554
220928, 과실류, 단감, 송본, 1, 0, 411.0
220928, 과실류, 단감, 기타단감, 1, 0, 150.0
220928, 과실류, 단감, 송본, 1, 0, 334.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 525.0
220928, 조미채소류, 대파, 대파, 1, 0, 182.5
220928, 수실류, 대추, 대추, 1, 0, 750.0
220928, 과일과채류, 메론, 기타메론, 1, 0, 437.5
220928, 서류, 야콘, 야콘, 1, 0, 200.0
220928, 서류, 고구마, 기타, 1, 0, 160.0
220928, 과일과채류, 토마토, 찰토마토, 1, 0, 480.0
220928, 엽경채류, 상추, 포기찹, 1, 0, 485.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 312.5
220928, 과일과채류, 토마토, 찰토마토, 1, 0, 480.0
220928, 과실류, 단감, 상서, 1, 0, 165.0
220928, 서류, 고구마, 기타, 1, 0, 169.0
220928, 과실류, 사과, 요까, 1, 0, 175.0
220928, 양채류, 파프리카, 파프리카, 1, 0, 675.0
220928, 수실류, 대추, 대추, 1, 0, 800.0
220928, 과일과채류, 수박, 수박, 1, 0, 125.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 312.5
220928, 양채류, 파프리카, 파프리카, 1, 0, 675.0
220928, 조미채소류, 대파, 대파, 1, 0, 192.5
220928, 과실류, 단감, 송본, 1, 0, 230.0
220928, 과일과채류, 수박, 수박, 1, 0, 115.38461
220928, 엽경채류, 배추, 기타배추, 1, 0, 121.0
220928, 과실류, 자두, 추희, 1, 0, 320.0
220928, 과채류, 오이, 백다다기, 1, 0, 120.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 260.0
220928, 과실류, 자두, 추희, 1, 0, 360.0
220928, 과일과채류, 수박, 수박, 1, 0, 121.42857
220928, 과실류, 무화과, 무화과, 1, 0, 541.6667
220928, 과채류, 호박, 쥬키니호박, 1, 0, 150.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 375.0
220928, 조미채소류, 대파, 대파, 1, 0, 170.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 1650.0
220928, 과일과채류, 수박, 수박, 1, 0, 113.333336
220928, 수실류, 대추, 대추, 1, 0, 400.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 1050.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 1205.0
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 461.25
220928, 과채류, 호박, 쥬키니호박, 1, 0, 59.090908
220928, 과일과채류, 수박, 수박, 1, 0, 118.75
220928, 과실류, 복숭아, 환타지아, 1, 0, 360.0
220928, 서류, 고구마, 기타, 1, 0, 203.0
220928, 엽경채류, 상추, 청상추, 1, 0, 225.0
220928, 과실류, 복숭아, 만생황도, 1, 0, 375.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 875.0
220928, 근채류, 토란, 토란, 1, 0, 136.0
220928, 수실류, 떫은감, 연시, 1, 0, 280.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 575.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 450.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 500.0
220928, 과채류, 가지, 가지, 1, 0, 346.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 260.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 316.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 233.33333
220928, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
220928, 과실류, 복숭아, 황도, 1, 0, 287.5
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 900.0
220928, 과일과채류, 참외, 금싸라기, 1, 0, 160.0
220928, 과채류, 오이, 가시오이, 1, 0, 248.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 500.0
220928, 과실류, 단감, 부유, 1, 0, 420.0
220928, 양채류, 파프리카, 빨강파프리카, 1, 0, 26800.0
220928, 과일과채류, 토마토, 기타토마토, 1, 0, 380.0
