220928, 과채류, 오이, 백다다기, 1, 0, 265.0
220928, 양채류, 피망(단고추), 청피망, 1, 0, 150.0
220928, 과실류, 단감, 송본, 1, 0, 230.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 550.0
220928, 버섯류, 팽이버섯, 팽이1호, 1, 0, 200.0
220928, 엽경채류, 배추, 고냉지배추, 1, 0, 246.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 28800.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 266.66666
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 466.66666
220928, 과일과채류, 토마토, 토마토, 1, 0, 380.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 466.66666
220928, 과실류, 자두, 추희, 1, 0, 570.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 400.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 2000.0
220928, 과실류, 단감, 송본, 1, 0, 220.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 420.0
220928, 서류, 야콘, 야콘, 1, 0, 100.0
220928, 산채류, 도라지, 도라지, 1, 0, 400.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 366.66666
220928, 서류, 고구마, 밤고구마, 1, 0, 88.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 300.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 18000.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 200.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 366.66666
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 520.0
220928, 과실류, 복숭아, 백도, 1, 0, 400.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 280.0
220928, 과일과채류, 참외, 참외, 1, 0, 165.0
220928, 과채류, 호박, 애호박, 1, 0, 233.33333
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 29000.0
220928, 과실류, 단감, 송본, 1, 0, 330.0
220928, 과실류, 단감, 송본, 1, 0, 45.0
220928, 과실류, 단감, 송본, 1, 0, 126.0
220928, 과실류, 단감, 송본, 1, 0, 212.0
220928, 과실류, 단감, 송본, 1, 0, 387.0
220928, 과실류, 단감, 송본, 1, 0, 126.0
220928, 과실류, 단감, 송본, 1, 0, 202.0
220928, 과채류, 가지, 가지, 1, 0, 159.0
220928, 산채류, 마, 생장마, 1, 0, 456.0
220928, 과채류, 가지, 가지, 1, 0, 120.0
220928, 근채류, 무, 기타무, 1, 0, 186.0
220928, 엽경채류, 상추, 포기찹, 1, 0, 425.0
220928, 수실류, 대추, 대추, 1, 0, 450.0
220928, 과실류, 포도, 거봉, 1, 0, 550.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 156.36363
220928, 양채류, 비트(붉은사탕무우), 비트, 1, 0, 70.0
220928, 엽경채류, 아욱, 아욱, 1, 0, 165.0
220928, 과채류, 가지, 가지, 1, 0, 115.0
220928, 두류, 강낭콩, 기타강낭콩, 1, 0, 610.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 650.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 725.0
220928, 조미채소류, 홍고추, 홍청양, 1, 0, 588.0
220928, 과실류, 단감, 상서, 1, 0, 520.0
220928, 수실류, 대추, 대추, 1, 0, 600.0
220928, 두류, 강낭콩, 기타강낭콩, 1, 0, 575.0
220928, 과채류, 가지, 가지, 1, 0, 155.0
220928, 과채류, 호박, 애호박, 1, 0, 207.5
220928, 조미채소류, 건고추, 기타건고추, 1, 0, 1200.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 4250.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 566.6667
220928, 조미채소류, 쪽파, 깐쪽파, 1, 0, 945.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 360.0
220928, 과채류, 오이, 백다다기, 1, 0, 466.0
220928, 조미채소류, 홍고추, 홍청양, 1, 0, 475.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 296.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 350.0
220928, 조미채소류, 쪽파, 깐쪽파, 1, 0, 945.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 440.0
220928, 과실류, 파인애플, 골드, 1, 0, 252.17392
220928, 과일과채류, 토마토, 토마토, 1, 0, 392.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 266.66666
220928, 과실류, 복숭아, 황도, 1, 0, 287.5
220928, 서류, 고구마, 호박고구마, 1, 0, 232.0
220928, 수실류, 대추, 기타대추, 1, 0, 950.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
220928, 양채류, 치커리, 기타치커리, 1, 0, 150.0
220928, 과실류, 떫은감, 대봉시, 1, 0, 115.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 666.6667
220928, 과실류, 포도, 캠벨얼리, 1, 0, 266.66666
220928, 과일과채류, 토마토, 토마토, 1, 0, 160.0
220928, 수실류, 대추, 기타대추, 1, 0, 750.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
